Category,Name,Provider,Location,Specs,Authorization,Authentication,Description,Notes
CI Test,iojs-wheezy-armv7-1,Scaleway,Paris,"C1 (4x1.3GHz, 2GB)",ssh,Build team,Debian Wheezy armhf,Redundant machine for ARMv7 Wheezy
CI Test,iojs-wheezy-armv7-2,Scaleway,Paris,"C1 (4x1.3GHz, 2GB)",ssh,Build team,Debian Wheezy armhf,Redundant machine for ARMv7 Wheezy
CI Build,iojs-wheezy-armv7-release-1,Scaleway,Paris,"C1 (4x1.3GHz, 2GB)",ssh,Limited build team,Debian Wheezy armhf,"Limited access due to heightened security around binaries, produces ARMv7 Linux binaries"
CI Test,iojs-joyent-smartos14-64-1,Joyent,,8GB High CPU Zone,ssh,Build team,SmartOS 5.11,
CI Test,iojs-joyent-smartos14-32-1,Joyent,,8GB High CPU Zone,ssh,Build team,SmartOS 5.11,
CI Test,iojs-linaro-armv8-ubuntu1404,Linaro,,,ssh,rvagg,Ubuntu 14.04 ARMv8,"Currently limited to rvagg because of ssh configuration, need to work with Linaro to open up further"
CI Test,iojs-voxer-freebsd101-64-1,Voxer,,,VPN + ssh,"rvagg, jbergstroem",FreeBSD (??) 64-bit,Fast jails provided by Voxer
CI Test,iojs-voxer-freebsd101-32-1,Voxer,,,VPN + ssh,"rvagg, jbergstroem",FreeBSD (??) 32-bit,Fast jails provided by Voxer
CI VM Host,iojs-voxer-osx-1,Voxer,,2015 Mac Mini,VNC,NodeSource only,OSX 10.10 + VMWare Worksatation,"Limited access due to use of NodeSource signing certificates, will change when we get Foundation certs"
CI VM Host,iojs-voxer-osx-1,Voxer,,2015 Mac Mini,VNC,NodeSource only,OSX 10.10 + VMWare Worksatation,"Limited access due to use of NodeSource signing certificates, will change when we get Foundation certs"
CI Test,iojs-voxer-osx-test-1,Voxer,,VM,VNC,NodeSource only,OSX 10.10,Redundant CI machine for OSX 10.10
CI Test,iojs-voxer-osx-test-2,Voxer,,VM,VNC,NodeSource only,OSX 10.10,Redundant CI machine for OSX 10.10
CI Build,iojs-voxer-osx-build-1,Voxer,,VM,VNC,NodeSource only,OSX 10.10,Produces OSX binaries for .pkg
CI Build,iojs-voxer-osx-build-2,Voxer,,VM,VNC,NodeSource only,OSX 10.10,"Produces Darwin 64-bit binaries for tarball, source tarball and docs"
CI Test,iojs-ns-pi2-1,NodeSource,AU,Raspberry Pi B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Removed from CI, old and slow, donated by Rod Vagg"
CI Test,iojs-ns-pi2-2,NodeSource,AU,Raspberry Pi B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Removed from CI, old and slow, donated by Andrew Chilton"
CI Test + Build,iojs-ns-pi1p-1,NodeSource,AU,Raspberry Pi B+,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi1p, donated by NodeSource"
CI Test + Build,iojs-ns-pi1p-2,NodeSource,AU,Raspberry Pi B+,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi1p, donated by Andi Neck"
CI Test + Build,iojs-ns-pi1p-3,NodeSource,AU,Raspberry Pi B+,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi1p, donated by Andi Neck"
CI Test + Build,iojs-ns-pi1p-4,NodeSource,AU,Raspberry Pi B+,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi1p, donated by Bryan English"
CI Test + Build,iojs-ns-pi1p-5,NodeSource,AU,Raspberry Pi B+,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi1p, donated by Bryan English"
CI Test + Build,iojs-ns-pi2-1,NodeSource,AU,Raspberry Pi 2 B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi2, donated by NodeSource"
CI Test + Build,iojs-ns-pi2-2,NodeSource,AU,Raspberry Pi 2 B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi2, donated by Joey van Dijk"
CI Test + Build,iojs-ns-pi2-3,NodeSource,AU,Raspberry Pi 2 B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi2, donated by Joey van Dijk"
CI Test + Build,iojs-ns-pi2-4,NodeSource,AU,Raspberry Pi 2 B,NAT ssh,rvagg only (office),Raspbian Wheezy,"Redundant raspbian-wheezy-pi2, donated by Simeon Vincent"
CI Test + Build,iojs-ns-xu3-1,NodeSource,AU,ODROID XU3 / ARMv7,NAT ssh,rvagg only (office),Ubuntu 14.04 variant,"ARMv7 Ubuntu 14.04 test and build for ARMv7 Linux binaries (moving to ARMv7 Wheezy machine for binaries), donated by NodeSource"
PENDING,,NodeSource,AU,ODROID XU3 / ARMv7,NAT ssh,rvagg only (office),Ubuntu 14.04 variant,"Donated by Dav Glass / Yahoo!, pending setup"
PENDING,,NodeSource,AU,ODROID XU3 / ARMv7,NAT ssh,rvagg only (office),Ubuntu 14.04 variant,"Donated by Dav Glass / Yahoo!, pending setup"
PENDING,,NodeSource,AU,Beagle Bone Black,NAT ssh,rvagg only (office),?,"Donated by Julian Duque / NodeSource, pending setup"
PENDING,,NodeSource,AU,ODROID U3,NAT ssh,rvagg only (office),?,Donated by Joey van Dijk
